Time(s),Acceleration(m_s2),1_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118183
0.0710002,930.433,
0.0720006,892.224,
0.073,544.52,
0.0740004,238.812,
0.0750009,633.342,
0.0760003,551.449,
0.0770007,176.436,
0.0780001,141.309,
0.0790004,645.101,
0.0800007,95.0469,
0.081,-10.4402,
0.0820004,119.993,
0.0830007,232.918,
0.084001,70.3198,
0.0850003,219.03,
0.0860006,137.912,
0.0870009,83.5033,
0.0880006,-86.985,
0.089,283.554,
0.0900003,-62.806,
0.0910006,-54.9741,
0.092001,342.412,
0.093,-548.24,
0.0940003,434.535,
0.0950007,-470.59,
0.096001,185.292,
0.0970003,-197.108,
0.0980006,-64.2111,
0.0990009,171.922,
0.1,367.569,
0.101001,93.0299,
0.102,161.014,
0.103001,263.052,
0.104001,317.344,
0.105,-72.1591,
0.106001,14.8254,
0.107001,-506.864,
0.108,424.363,
0.109001,-577.198,
0.110001,131.482,
0.111,-202.446,
0.112,-230.291,
0.113001,-22.0865,
0.114,-10.9858,
0.115,30.3333,
0.116001,358.192,
0.117001,-206.286,
0.118,207.6,
0.119001,-308.764,
0.120001,814.163,
0.121,-208.551,
0.122001,-301.124,
0.123001,-148.887,
0.124,684.618,
0.125,-289.203,
0.126001,-2.38759,
0.127,294.854,
0.128001,-240.465,
0.129,307.531,
0.130001,-104.483,
0.131001,-170.591,
0.132,368.145,
0.133001,-248.059,
0.134,232.201,
0.135001,-154.891,
0.136001,-240.052,
0.137,-99.1044,
0.138001,142.135,
0.139,-236.527,
0.140001,168.526,
0.141001,-259.634,
0.142,85.097,
0.143,-358.489,
0.144001,508.174,
0.145001,-407.816,
0.146001,193.325,
0.147001,-216.927,
0.148001,212.706,
0.149001,-163.081,
0.150001,-240.009,
0.151001,-122.135,
0.152,338.053,
0.153,-13.7235,
0.154,306.757,
0.155001,239.912,
0.156001,104.493,
0.157,277.7,
0.158,-18.4722,
0.159,197.14,
0.160001,105.505,
0.161001,-107.798,
0.162001,86.2045,
0.163,-468.628,
0.164,3.80808,
0.165001,-174.589,
0.166001,115.8,
0.167001,-129.698,
0.168,-100.094,
0.169,355.724,
0.170001,41.0791,
0.171001,234.38,
0.172001,-197.232,
0.173,389.672,
0.174,-255.315,
0.175001,-42.4866,
0.176001,-36.9395,
0.177001,-192.092,
0.178,-207.186,
0.179,-108.615,
0.180001,-62.2702,
0.181001,256.867,
0.182001,-78.409,
0.183,419.828,
0.184,-200.924,
0.185,516.103,
0.186001,-29.7711,
0.187001,173.094,
0.188,-273.588,
0.189,300.214,
0.19,-251.022,
0.191001,217.816,
0.192,-45.7789,
0.193001,100.587,
0.194,-76.7511,
0.195001,56.4667,
0.196,-150.688,
0.197,-336.522,
0.198001,34.0506,
0.199,30.2935,
0.200001,-240.724,
0.201,148.844,
0.202,-260.536,
0.203001,-17.5349,
0.204,-235.872,
0.205001,87.2259,
0.206,129.245,
0.207001,-73.9734,
0.208001,-67.0636,
0.209,40.8654,
0.210001,-221.575,
0.211,190.033,
0.212001,-535.077,
0.213001,-46.3299,
0.214,-107.637,
0.215001,-36.2801,
0.216,-152.219,
0.217001,-74.0829,
0.218001,162.547,
0.219,-218.772,
0.220001,419.031,
0.221,-21.8835,
0.222001,-40.4917,
0.223,8.06352,
0.224001,-226.538,
