Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157686
0.262,-8.74996,
0.263,-126.082,
0.264001,-48.4333,
0.265,163.289,
0.266001,-149.651,
0.267,-58.3227,
0.268001,40.1325,
0.269,-14.8818,
0.270001,101.243,
0.271,607.097,
0.272001,-386.665,
0.273,147.699,
0.274001,213.928,
0.275,-140.698,
0.276001,-217.636,
0.277,300.559,
0.278001,-279.239,
0.279,79.9208,
0.280001,-67.7254,
0.281,-14.6064,
0.282001,54.9486,
0.283,-37.4472,
0.284001,-32.1442,
0.285,-446.558,
0.286001,64.6714,
0.287,-47.9725,
0.288,-178.42,
0.289,48.6599,
0.29,18.5006,
0.291001,-37.0875,
0.292,-134.431,
0.293001,-32.2483,
0.294,92.5182,
0.295001,-63.3532,
0.296,180.389,
0.297001,197.646,
0.298,-79.8983,
0.299001,299.546,
0.3,-105.306,
Time(s),Acceleration(m_s2),3_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157560
0,-8.80593,
0.00100075,-9.9067,
0.00200062,-9.90669,
0.00300037,-8.80594,
0.00400011,-9.90665,
0.00500074,-28.621,
0.00600049,100.179,
0.00700023,-8.8077,
0.00800076,222.414,
0.00900087,403,
0.0100001,259.852,
0.0110002,151.404,
0.0120003,389.789,
0.0130005,-224.018,
0.0140008,394.634,
0.0150001,-327.47,
0.016,-261.947,
0.0170001,14.3045,
0.0180002,-116.109,
0.0190003,-226.189,
0.0200005,-442.436,
0.0210006,-167.312,
0.0220007,276.316,
0.0230008,-420.546,
0.0240009,16.5151,
0.0250001,248.84,
0.0260002,412.924,
0.0270003,396.387,
0.0280004,-37.44,
0.0290005,294.01,
0.0300006,194.332,
0.0310007,-94.146,
0.0320008,121.671,
0.0330001,-256.519,
0.0340002,77.0643,
0.0350003,356.686,
0.0360004,-127.145,
0.0370005,544.808,
0.0380006,-169.505,
0.0390007,-313.147,
0.0400008,-102.357,
0.041,-94.0959,
0.0420001,-4.95276,
0.0430002,-323.05,
0.0440003,-223.448,
0.0450004,365.418,
0.0460006,279.6,
0.0470007,483.201,
0.0480008,-48.9878,
0.0490009,120.53,
0.0500001,-195.373,
0.0510002,-8.2552,
0.0520003,106.749,
0.0530004,-104.566,
0.0540005,-553.087,
0.0550006,463.963,
0.0560007,111.725,
0.0570008,260.893,
0.0580001,349.562,
0.0590002,84.7852,
0.0600003,425.536,
0.0610004,898.012,
0.0620005,-911.713,
0.0630006,793.999,
0.0640007,58.3796,
0.0650008,19.8295,
0.066,-159.139,
0.0670001,491.076,
0.0680002,224.231,
0.0690003,305.87,
0.0700004,60.1119,
0.0710006,789.182,
0.0720007,487.053,
0.0730008,324.907,
0.0740009,544.666,
0.0750001,6.61932,
0.0760002,429.409,
0.0770003,25.3698,
0.0780004,421.308,
0.0790005,428.411,
0.0800006,106.271,
0.0810007,-319.327,
0.0820008,381.217,
0.0830001,70.8966,
0.0840002,-4.96141,
0.0850003,-139.948,
0.0860004,424.529,
0.0870005,-513.038,
0.0880006,249.483,
0.0890007,10.4068,
0.0900008,-160.244,
0.091,751.259,
0.0920001,75.5334,
0.0930002,614.042,
0.0940003,-370.873,
0.0950004,688.103,
0.0960006,530.172,
0.0970007,240.842,
0.0980008,389.27,
0.0990009,-66.9934,
0.1,307.11,
0.101,144.726,
0.102,-103.923,
0.103,-199.019,
0.104001,-62.298,
0.105001,184.975,
0.106001,-865.623,
0.107001,-282.685,
0.108,-154.245,
0.109,737.27,
0.11,-389.129,
0.111,548.548,
0.112,-343.184,
0.113001,209.217,
0.114001,500.547,
0.115001,24.5318,
0.116,-72.7577,
0.117,112.986,
