Nodal History,Z-acceleration
Time,A119507,B121301,C121285,D8907,E121770,F121637,G121722,H121457,I121627,J122023,K122002,L120985,M120534,
    3.2999992371e-02,    5.0399396875e+05,   -4.6810753906e+04,    2.0639128125e+05,    2.9254284375e+05,    3.6287709375e+05,    1.7394409375e+05,    7.4664000000e+04,    1.2169574219e+05,   -1.5407335938e+05,   -1.7176417188e+05,   -5.5700058594e+03,    3.4122687500e+05,    1.0461178125e+05,
    3.3999998122e-02,   -2.2391254883e+03,    9.9347664062e+04,   -3.3493652344e+04,    4.6816368750e+05,    3.7222090625e+05,    3.1056700000e+05,    4.3477265625e+05,    5.8419881250e+05,    2.4059442188e+05,    1.7805539062e+05,    4.6306321875e+05,   -2.6172225000e+05,   -1.5937851562e+05,
    3.4999560565e-02,    5.7924003906e+04,    2.7270037500e+05,    8.5178414062e+04,    2.5129656250e+05,   -9.3841007812e+04,    7.8151531250e+04,    8.5384697266e+03,    4.0773100000e+05,    2.9177103125e+05,    6.3434900000e+05,   -1.5169636719e+04,    5.1491875000e+04,   -1.4316774414e+04,
    3.5999894142e-02,    1.5702482812e+05,   -1.2062440625e+05,    1.5319760938e+05,    2.4420196875e+05,    2.8478668750e+05,    1.7616896875e+05,    2.1191092188e+05,   -1.1687659180e+04,    2.6258521875e+05,    2.1287888672e+04,   -2.5500479688e+05,   -8.6888890625e+04,    4.6631268750e+05,
    3.6999415606e-02,    4.9989019531e+04,    2.7043859375e+05,    1.1627995312e+05,    1.1185885938e+05,    5.8650056250e+05,   -7.0292156250e+04,    8.2441031250e+04,   -6.7737867188e+04,    4.0931882812e+04,    1.3842053125e+05,    3.8621421875e+05,    2.4161939062e+05,    8.9864187500e+04,
    3.7999417633e-02,    2.3071709375e+05,    2.2188645312e+05,    2.4374146875e+05,    1.3412828125e+05,    3.1986062500e+05,    4.2135040625e+05,    5.0495230469e+04,    9.3474228516e+03,    3.2043518750e+05,    2.1976535938e+05,   -3.5444431250e+05,    1.8968542188e+05,   -4.2837906250e+04,
    3.8999889046e-02,    1.6243196875e+05,    2.3794942188e+05,    3.0941762500e+05,    2.7415025000e+05,    5.8229410156e+04,    2.1944734375e+04,   -1.0871026562e+05,   -2.4917138672e+04,    1.4661278125e+05,    3.0217428125e+05,   -2.8809150000e+05,    9.5848203125e+04,    6.6370859375e+04,
    3.9999362081e-02,    1.2708727344e+05,    2.5086654688e+05,    6.6366265625e+04,    2.4203504688e+05,    9.2268195312e+04,   -2.4536032812e+05,    3.5458650000e+05,    2.1075573438e+05,   -1.5276626562e+05,   -1.2186133789e+04,    2.6103604688e+05,   -6.7406789062e+04,   -2.1669215625e+05,
    4.0999945253e-02,   -1.9089950000e+05,    3.6511996875e+05,    3.5355050000e+05,    2.6432546875e+05,    3.4575468750e+05,    2.9749846875e+05,    1.1857048438e+05,    2.0631260938e+05,    3.5618168750e+05,    2.2341603125e+05,    2.1544290625e+05,    3.7051906250e+04,    2.2744757812e+05,
    4.1999336332e-02,    3.6213296875e+04,    3.1976840625e+05,    1.2381453906e+05,    1.7729928125e+05,    8.1875085938e+04,    4.0157987500e+05,    3.5205000000e+04,    2.9874734375e+05,    3.9007003125e+05,    2.9238887500e+05,    6.9550562500e+04,    3.5968696875e+05,    6.7006234375e+04,
    4.2999319732e-02,    3.0432603125e+05,   -1.0596870312e+05,   -2.2126529688e+05,    1.1991628125e+05,    4.7530246094e+04,    1.8232968750e+04,    3.6063178125e+05,    3.0347812500e+05,   -4.0296335449e+03,   -1.4134746875e+05,    4.2935271875e+05,    1.7275509375e+05,   -3.6002714844e+04,
    4.3999567628e-02,    2.0223837500e+05,   -6.9782273438e+04,   -1.4240212500e+05,    2.0012696875e+05,    2.1125110938e+05,    2.0718523438e+05,    8.2523195312e+04,   -2.6137485352e+03,    5.6286230469e+04,    1.1510203125e+05,   -1.4290448438e+05,    5.5151437500e+04,    3.3867475000e+05,
    4.4999934733e-02,    6.9875242188e+04,   -1.3725250000e+05,    1.2399180469e+05,    9.0149976562e+04,    1.6072092188e+05,    1.4818537500e+05,   -3.2294880859e+04,   -9.1793156250e+04,    1.3340217188e+05,    3.8219884375e+05,   -5.2341078125e+04,    1.5449256250e+05,    2.5811473438e+05,
    4.5999977738e-02,    2.6965303125e+05,    7.1619578125e+04,    9.0194365234e+03,   -7.8329296875e+04,    1.4956712500e+05,   -1.6867789062e+05,   -5.7769472656e+04,   -5.5129164062e+04,    2.2975415625e+05,    3.5789037500e+05,    1.4826771484e+04,    1.3018117188e+05,    1.8660043750e+05,
    4.6999659389e-02,    1.0470509375e+05,    9.8325312500e+04,    6.9446437500e+04,    2.6288554688e+04,    3.8826828125e+04,    2.1322501562e+05,    1.3316979688e+05,    5.0345886719e+04,    7.4410148438e+04,    1.0945310938e+05,    3.8782062500e+05,    1.0005003906e+05,    4.0016980469e+04,
    4.7999422997e-02,   -5.9906875000e+04,    2.2667142188e+05,    2.5652075000e+05,    1.4812135938e+05,   -4.7315917969e+04,    5.6818900000e+05,    2.7348528125e+05,    1.7033489062e+05,    2.0752429688e+05,   -1.3297746875e+05,   -4.3257328125e+04,    3.7957953125e+05,    1.4629370312e+05,
    4.8999860883e-02,    9.8687234375e+04,    1.7081167188e+05,    1.5336826562e+05,    2.8143596875e+05,    1.1164889844e+05,   -1.2013833594e+05,    3.2456496875e+05,    3.8638825000e+05,   -6.5668078125e+04,   -7.5097531250e+04,    4.1260218750e+05,    1.2975608594e+05,    1.7726309375e+05,
    4.9999501556e-02,    1.3480325000e+05,    6.6117382812e+04,    9.8726609375e+04,    6.9076898438e+04,    2.6897393750e+05,   -7.7982210938e+04,    1.2423415625e+05,    1.4219451562e+05,   -1.2726217773e+04,    3.9884640625e+04,    2.7459837500e+05,    1.3027028320e+04,   -4.1372366333e+02,
    5.0999902189e-02,    1.2726322656e+05,    1.9348948438e+05,    3.2474603125e+05,   -3.7400460938e+04,    1.5493953125e+05,    3.7453140625e+05,    5.7140523438e+04,   -6.3633992188e+04,    2.1200381250e+05,    2.5082539062e+05,   -2.9438593750e+05,    1.5373818750e+05,    2.3747651562e+05,
    5.1999755204e-02,    2.0075207031e+04,    4.1503902344e+04,    4.4133090820e+03,    3.5168775000e+05,    1.8750734375e+05,    2.9531421875e+05,    1.0383217188e+05,    2.4591195312e+04,    2.3584592188e+05,    1.4252043750e+05,    5.4096808594e+04,    1.6743552734e+04,   -1.1209239502e+03,
    5.2999727428e-02,    2.7407193750e+05,    1.4637562500e+05,    2.0614785938e+05,    6.6007820312e+04,    1.1707238281e+04,   -1.2172153125e+05,    5.3384015625e+04,    1.4949457812e+05,   -3.6660738281e+04,    6.1539882812e+04,    9.9704062500e+04,   -2.5944443359e+04,    1.5888785938e+05,
    5.3999867290e-02,   -1.0078031250e+05,    3.8285484375e+04,    1.4422978125e+05,    1.7065075000e+05,    2.4010931250e+05,    2.6941128125e+05,   -7.3968460938e+04,    6.0494191406e+04,    1.6408298438e+05,    1.4113806250e+05,   -9.1539171875e+04,   -4.2112898438e+04,    4.7850043945e+03,
    5.4999507964e-02,    7.2897671875e+04,    1.7116184375e+05,    1.2014082031e+05,    1.1378358594e+05,    1.2382834375e+05,   -1.2361369141e+04,    2.9206103125e+05,    1.6682421875e+05,    2.6525906250e+04,    6.0431875000e+04,    1.7539289062e+05,    1.7180653125e+05,    2.5380476562e+05,
    5.5999927223e-02,    2.2600771875e+05,    1.3176767188e+05,    6.7531898438e+04,    3.0668278125e+05,    2.4014157812e+05,    2.3832198438e+05,    3.1309315625e+05,    2.8945746875e+05,    1.4270567188e+05,    2.2733970703e+04,    2.9451159375e+05,    1.3181556250e+05,    1.8256225000e+05,
    5.6999906898e-02,    6.2209074219e+04,    2.7737584375e+05,    2.4797628125e+05,    2.0105376562e+05,   -4.1910734375e+04,    4.0304053125e+05,    2.0364039062e+04,    1.0626487500e+05,    3.6543081250e+05,    2.2472715625e+05,    1.5507715625e+05,    1.7785121875e+05,    4.8625890625e+04,
    5.7999603450e-02,    1.0676907812e+05,   -3.3347338867e+02,    1.0862985352e+04,    1.8098729688e+05,    1.6443543750e+05,    2.6666474609e+04,    8.0184453125e+04,    9.5445312500e+04,    7.5301320312e+04,    5.2939195312e+04,    2.8681427734e+04,    1.9239240625e+05,    7.1243398438e+04,
    5.8999635279e-02,    1.5594907812e+05,   -4.5883539062e+04,   -8.4698484375e+04,    1.5769575000e+05,    1.1554085938e+05,    3.7201628906e+04,    8.8996398438e+04,    1.5814518750e+05,    8.8880302734e+03,    3.7497527344e+04,    9.0434539062e+04,   -8.6176406250e+04,    1.3206123438e+05,
    5.9999845922e-02,    2.0513350000e+05,    3.4972679688e+04,    1.2466850000e+05,    2.6923442383e+03,   -3.2766746094e+04,    2.4707200000e+05,   -8.9799546875e+04,   -5.1997632812e+04,    2.5131565625e+05,    4.1955546875e+05,   -2.2990773438e+04,   -9.4535351562e+03,    2.3295365625e+05,
    6.0999408364e-02,    7.2721476562e+04,   -2.3991355469e+04,   -2.5983514404e+02,   -9.7034775391e+03,    2.0693398438e+05,    2.2075328125e+05,    1.6884210938e+05,    3.2727297363e+03,    1.1683903125e+05,    1.7582564062e+05,   -1.2434993896e+03,    1.8735279688e+05,    1.5141692188e+05,
    6.1999760568e-02,    2.2386320312e+05,   -4.3788253906e+04,    5.9678371094e+04,    1.8124134375e+05,    1.6289320312e+05,   -1.4549773438e+05,    1.0257860938e+05,    7.2556906250e+04,   -5.6698781250e+04,    3.0865033203e+04,    3.0397328125e+05,    2.3220781250e+05,    1.0758750781e+05,
    6.2999643385e-02,    2.8903000000e+04,    3.1011790625e+05,    2.7610846875e+05,    1.5940931250e+05,    8.2376812500e+04,    3.2590490625e+05,    1.2376821875e+05,    1.3018818750e+05,    3.2438762500e+05,    1.7772966797e+04,    2.7299381250e+05,    1.2917950000e+05,    1.4571365625e+05,
    6.3999317586e-02,    2.3814027344e+04,    2.7240865625e+05,    2.1559753125e+05,    1.5673978125e+05,    2.1191011719e+04,    3.1652075000e+05,    2.1926623438e+05,    8.7549914062e+04,    2.1588782812e+05,    4.8434878906e+04,    1.8051390625e+04,    1.2927396094e+05,    1.9664221875e+05,
    6.4999699593e-02,    7.1118562500e+04,   -6.0141238281e+04,   -4.8601753906e+04,    2.0490050000e+05,    2.3603278125e+05,    3.2823542969e+04,    2.0066323438e+05,    2.6368809375e+05,   -4.7167836914e+03,   -7.5099360352e+03,    9.0329812500e+04,    4.3326589844e+04,   -3.0772195312e+04,
    6.5999351442e-02,    1.7824001562e+05,    1.1767407812e+05,    1.1902508594e+05,   -3.4207321167e+01,    1.5589625000e+04,    1.2559303125e+05,    8.8263156250e+04,    1.3605978125e+05,    1.4155414062e+05,    2.3819801562e+05,   -1.0807842969e+05,    7.3164526367e+02,    6.2430808594e+04,
