Nodal History,Z-acceleration
Time,A118707,B8420,C8766,D120461,E119895,F119308,G121999,H122026,I122042,J121427,K120875,L120200,M120175,N120162,O120138,P119999,Q119903,R119210,S117957,T117315,U118615,V120404,W121002,X121123,Y121221,Z121254,AA8692,AB121315,AC8535,AD120930,AE120632,AF8452,AG120535,AH8436,AI8432,
    1.9999882206e-02,   -1.8147793750e+05,   -1.3019984375e+05,    1.9311898438e+05,   -2.1873712500e+05,   -1.7875795312e+05,    1.3060963867e+04,    4.1969893750e+05,   -8.6012023438e+04,    1.8501631250e+05,    8.0938837500e+05,    4.7547328125e+05,    5.9724644531e+04,    3.5665190625e+05,    2.3919251562e+05,    2.4841101562e+05,    3.9039948730e+03,    6.3759746094e+04,   -2.0119350000e+05,    6.4177574219e+04,   -4.8143228125e+05,   -2.4737837500e+05,   -1.5921656250e+05,    9.8932570312e+04,    1.0910455469e+05,    3.4947378125e+05,   -6.0848535156e+04,   -2.9054978125e+05,    6.0838226562e+04,    7.9020804688e+04,    3.1083271875e+05,    4.8445696875e+05,    1.9821404688e+05,    2.0561860938e+05,    6.7672851562e+04,    7.2789734375e+04,
    2.0999472588e-02,   -3.2380042969e+04,   -1.1912960938e+05,    2.8408962500e+05,   -1.8813039062e+05,   -1.9810226562e+05,   -3.0377187500e+05,   -5.1679882812e+04,    9.3649632812e+04,    1.3530488750e+06,   -6.0822726562e+04,   -2.7543931250e+05,    3.0723512500e+05,   -2.4276314062e+05,   -3.9090800000e+05,   -5.7023025000e+05,    1.5149718750e+06,    2.2534881250e+05,    2.7934419922e+04,   -2.5210251562e+05,   -4.1256150000e+05,   -3.2479493750e+05,   -1.6150993750e+05,   -1.7212048438e+05,   -6.9198523438e+04,   -2.3280012500e+05,   -4.6550703125e+05,   -1.1369443750e+05,   -2.1308303223e+03,   -4.2285087500e+05,   -3.0242393750e+05,    1.1039092969e+05,    1.4327825000e+05,   -2.6893171875e+05,   -4.1631265625e+05,   -3.0161821875e+05,
    2.1999347955e-02,   -1.0623414844e+05,    2.9408440625e+05,    1.5598765625e+05,    1.5346100000e+05,   -1.0569149219e+05,   -2.0297532812e+05,    4.4036040625e+05,    4.1786703125e+05,    2.9329487500e+05,    1.5562625000e+04,    7.6493962500e+05,    1.9585564062e+05,    3.3461934375e+05,    3.1388159375e+05,   -2.9444981250e+05,    3.3608909375e+05,    3.4204363281e+04,   -3.9858931250e+05,   -5.5043262500e+05,   -4.2811956250e+05,   -6.8735450000e+05,   -2.4903773438e+05,    2.3740670312e+05,    4.7085325000e+05,   -1.4433821875e+05,   -2.6640962500e+05,    2.3260862500e+05,    4.0279121875e+05,    9.9967373047e+03,   -1.3080324219e+05,    3.3011709375e+05,    2.9848640625e+05,    3.7806168750e+05,    6.7650668750e+05,    8.5273281250e+05,
    2.2999463603e-02,    8.3893066406e+03,   -1.5365633789e+04,   -7.1404554688e+04,    2.9485078125e+05,    2.9798296875e+05,    3.0262059375e+05,    2.2593296875e+04,   -1.2699421094e+05,   -3.5016028125e+05,    1.4675596875e+05,   -1.7271003125e+05,   -2.7935612500e+05,    7.3942866211e+03,    7.8575375000e+05,    6.1730331250e+05,   -9.4879312500e+04,   -9.1533095703e+03,    2.2525262500e+05,    3.2238590625e+05,   -9.5630617188e+04,   -1.2686291406e+05,    5.0473011719e+04,   -2.3405548438e+05,   -1.9939650000e+05,    1.6526584375e+05,    1.5978017188e+05,    2.0395639062e+05,   -7.9757921875e+04,    4.2534415625e+05,    5.6284536133e+03,    1.1613913281e+05,    1.9773321875e+05,    4.0659812500e+05,    7.5284012500e+05,    6.4988431250e+05,
    2.3999635130e-02,    3.5121131250e+05,   -4.2002406250e+05,   -3.9672375000e+05,   -2.9076575000e+05,    7.7434585938e+04,    6.6802693750e+05,   -7.0884656250e+05,   -1.0707200781e+05,   -3.2464184375e+05,    2.8082490625e+05,   -4.6597078125e+05,   -5.2563450000e+05,    9.5380906250e+04,    3.1176159375e+05,    4.5175078125e+04,   -3.7204225000e+05,   -1.2685814062e+05,    1.0443261250e+06,    9.7483200000e+05,    2.1791427734e+04,    5.6533931250e+05,    3.2639446875e+05,   -7.9437662500e+05,    1.6378023438e+05,   -1.1526557812e+05,    3.5029940625e+05,    6.9688390625e+04,   -3.3961859375e+05,    3.8437850000e+05,    1.1477237500e+05,   -5.0740596875e+05,   -5.0985956250e+05,   -7.1673787500e+05,   -4.6445959375e+05,   -4.5497006250e+05,
    2.4999562651e-02,    4.0477500000e+05,    2.6625558594e+04,    2.5868957812e+05,   -2.1244430542e+02,   -1.3974151562e+05,   -1.8295179688e+05,    1.9499131250e+05,   -6.0175756250e+05,   -1.8409987500e+05,    3.0277587500e+05,    6.9381756250e+05,    5.4238234375e+04,   -6.7417804688e+04,    3.6439165625e+05,   -8.5199468750e+04,   -2.4166512500e+05,   -3.2906509375e+05,    2.3677079688e+05,    6.0133143750e+05,    7.4894268750e+05,    2.8572762500e+05,    3.3594371875e+05,    1.7908593750e+05,   -1.9414040625e+05,    8.0717820312e+04,   -7.6700054688e+04,    6.2980593750e+05,    1.1243355469e+05,   -4.9506625000e+04,    1.4507117188e+05,   -2.0646137500e+05,   -1.6608396875e+05,   -1.3762045312e+05,    7.1240437500e+04,    1.7008959375e+05,
    2.5999616832e-02,    4.0561790625e+05,    2.5854157812e+05,    1.0585313750e+06,    4.4259387500e+05,    1.0066892969e+05,   -1.2236989062e+05,    7.1897950000e+05,    1.9999606250e+05,    4.6777656250e+05,    7.3252531250e+04,    4.8026434375e+05,    2.5750132812e+05,    1.9137426562e+05,   -1.6290320312e+05,   -3.5005503125e+05,    6.1495518750e+05,    6.1693050000e+05,   -3.9921601562e+03,    8.2667968750e+03,    6.4735612500e+05,    7.2801987500e+05,    7.4507500000e+05,    3.8034268750e+05,    3.8599356250e+05,   -3.9273759375e+05,   -5.4565785156e+04,   -1.7705078125e+04,    4.0911487500e+05,   -4.5812762500e+05,   -9.0353081250e+05,    7.2454820312e+04,    2.5583904688e+05,    3.2970115625e+05,    4.1499990625e+05,    4.8075112500e+05,
    2.6999689639e-02,   -1.8670285938e+05,    3.5861125000e+05,    2.8302831250e+05,    7.4194550000e+05,    4.9441365625e+05,    1.5271345312e+05,   -1.7757101562e+05,   -3.4419793750e+05,    7.9260101562e+04,   -3.9516214844e+04,   -2.4748742188e+05,    2.2204671875e+05,   -1.2989203125e+05,    3.0275683594e+04,   -1.5016430664e+04,    4.6294000000e+05,    1.0662530469e+05,    6.7972406250e+05,    7.2928275000e+05,    1.0123493164e+04,   -1.1135291406e+05,    3.1954918750e+05,    4.3583418750e+05,    6.5342156250e+05,   -9.5104187500e+04,   -6.2042500000e+05,   -1.1588233594e+05,    5.4533339844e+03,   -5.8465681250e+05,   -1.1479745312e+05,    1.0872856250e+05,    6.3870537500e+05,    4.4219193750e+05,    2.6380453125e+05,    2.6855431250e+05,
    2.7999831364e-02,    5.9139462500e+05,    9.5637703125e+04,    3.8313945312e+04,    1.4855096875e+05,    4.3470200000e+05,    4.4212778125e+05,    8.0876056250e+05,    4.8329738281e+04,    1.9010935938e+05,    2.1491184375e+05,    2.4632775391e+04,   -2.6998996875e+05,   -1.3822723438e+05,    2.6383593750e+05,    2.5417579688e+05,    3.1669870605e+03,    2.1762753125e+05,   -1.5186756250e+05,    6.9470453125e+04,   -9.9889890625e+04,    5.9411679688e+04,   -5.4516019531e+04,    1.7657998438e+05,    4.8665178125e+05,    1.3367903125e+05,   -3.3167475000e+05,   -3.5221406250e+04,   -1.4424153125e+05,    4.2414000000e+05,    6.8508931250e+05,    4.3255393750e+05,    8.6889828125e+04,    2.6896664062e+04,    2.6800931250e+05,    2.1733035938e+05,
    2.8999840841e-02,    1.5187348438e+05,    1.3410785938e+05,    7.1472398438e+04,   -1.6238270312e+05,   -7.8945585938e+04,    3.7901037500e+05,    1.1447328125e+05,    3.8259893750e+05,    1.9169185938e+05,    7.1033056250e+05,   -1.8977064062e+05,   -8.6012243750e+05,   -4.2091203125e+04,   -3.0215031250e+05,    5.4696562500e+05,    3.0750978125e+05,    3.8478303125e+05,    1.5629714062e+05,   -3.3187660156e+04,    6.7523612500e+05,    7.4779393750e+05,    4.7912539062e+04,    5.1356609375e+04,   -2.0192831250e+05,    4.3008143750e+05,    5.2291709375e+05,   -3.5151896875e+05,   -2.2628407812e+05,    4.6312368750e+05,    6.7028337500e+05,    8.8189195312e+04,   -3.0559137500e+05,   -1.5130625000e+05,    1.2296411719e+05,    1.8664510938e+05,
