Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0.212001,479.438,
0.213001,347.216,
0.214001,380.299,
0.215,394.67,
0.216001,152.856,
0.217,267.631,
0.218001,112.295,
0.219,277.751,
0.220001,381.921,
0.221001,379.247,
0.222001,555.129,
0.223001,343.721,
0.224,469.476,
0.225001,222.884,
0.226,206.461,
0.227001,798.45,
0.228,557.722,
0.229001,494.301,
0.230001,345.176,
0.231001,505.273,
0.232001,51.5351,
0.233,323.344,
0.234001,260.722,
0.235,234.051,
0.236001,467.86,
0.237,275.553,
0.238001,261.443,
0.239001,238.625,
0.240001,387.663,
0.241001,304.96,
0.242,238.604,
0.243001,76.9959,
0.244,352.079,
0.245001,203.602,
0.246,363.893,
0.247001,215.032,
0.248001,282.28,
0.249001,249.657,
0.250001,566.794,
0.251001,174.115,
0.252001,158.255,
0.253001,308.705,
0.254001,496.237,
0.255001,290.045,
0.256001,151.279,
0.257,276.253,
0.258,554.481,
0.259,543.535,
0.26,375.465,
0.261,149.075,
0.262001,98.0928,
0.263001,326.961,
0.264001,429.15,
0.265001,243.088,
0.266001,314.831,
0.267001,481.739,
0.268001,206.86,
0.269001,129.054,
0.270001,403.404,
0.271001,284.941,
0.272,386.729,
0.273,496.375,
0.274,739.066,
0.275,546.972,
0.276,550.021,
0.277001,246.087,
0.278001,318.643,
0.279001,462.78,
0.280001,600.202,
0.281001,316.43,
0.282001,333.848,
0.283001,263.467,
0.284001,285.069,
0.285001,148.861,
0.286,207.437,
0.287,258.987,
0.288,115.009,
0.289,204.478,
0.29,383.373,
0.291001,157.463,
0.292001,183.29,
0.293001,204.174,
0.294001,324.575,
0.295001,302.085,
0.296001,451.559,
0.297001,240.929,
0.298001,321.037,
0.299001,437.756,
0.3,272.593,
Time(s),Acceleration(m_s2),3_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27166
0,10.3553,
0.00100038,8.47588,
0.00200076,9.90437,
0.00300121,9.79371,
0.00400014,9.75282,
0.00500043,47.5248,
0.00600064,142.416,
0.00700042,351.333,
0.00800017,293.656,
0.00900046,556.526,
0.0100007,416.645,
0.0110007,338.184,
0.0120009,128.032,
0.0130012,286.925,
0.0140004,206.953,
0.0150012,436.535,
0.0160003,101.422,
0.0170002,157.605,
0.0180002,202.802,
0.0190002,355.028,
0.0200014,201.363,
0.0210003,107.412,
0.0220008,103.594,
0.0230011,331.432,
0.0240004,364.243,
0.0250013,226.786,
0.0260002,260.445,
0.0270005,144.603,
0.0280008,260.734,
0.0290011,267.133,
0.0300014,526.931,
0.0310002,429.023,
0.0320004,329.203,
0.0330007,247.929,
0.034001,390.623,
0.0350013,304.472,
0.0360001,223.957,
0.0370004,237.759,
0.0380007,157.695,
0.039001,221.799,
0.0400013,132.648,
0.0410001,377.193,
0.0420004,200.061,
0.0430007,335.735,
0.0440001,280.389,
0.045001,331.865,
0.0460009,383.867,
0.0470004,285.697,
0.0480003,354.936,
0.049,328.669,
0.0500012,415.278,
0.0510008,196.007,
0.0520002,180.392,
0.053001,567.504,
0.0540003,322.49,
0.0550012,341.819,
0.0560005,293.521,
0.0570013,280.727,
0.0580007,594.755,
0.0590015,311.793,
0.0600008,931.658,
0.0610002,502.413,
0.062001,654.103,
0.0630003,822.681,
0.0640012,470.466,
0.0650005,733.079,
0.0660013,553.173,
0.0670007,420.785,
0.0680015,174.14,
0.0690008,1183.51,
0.0700002,459.148,
0.071001,466.75,
0.0720003,1029.31,
0.0730012,573.79,
0.0740005,586.816,
0.0750013,740.305,
0.0760007,945.489,
0.0770015,471.724,
0.0780008,724.052,
0.0790002,554.147,
0.080001,469.589,
0.0810003,468.359,
0.0820012,285.715,
0.0830005,209.985,
0.0840013,250.695,
0.0850007,366.141,
0.0860015,441.191,
0.0870012,334.012,
0.0880013,379.292,
0.0890005,676.726,
0.0900002,565.914,
0.0910015,1007.3,
0.0920012,468.708,
0.093001,464.356,
0.0940007,960.785,
0.0950005,453.048,
0.0960002,411.393,
0.0970015,315.658,
0.0980012,360.545,
0.0990009,661.479,
0.100001,432.761,
0.101,605.829,
0.102,328.611,
0.103001,508.034,
0.104001,512.87,
0.105001,443.642,
0.106001,317.114,
0.107,922.095,
0.108,391.261,
0.109001,439.765,
0.110001,319.408,
0.111001,416.813,
0.112001,472.061,
0.113,582.875,
0.114,453.207,
0.115001,264.057,
0.116001,422.009,
0.117001,588.475,
0.118,375.669,
0.119001,312.414,
0.120001,1153.48,
0.121001,407.822,
0.122001,407.145,
0.123,730.548,
0.124001,406.283,
0.125,686.32,
0.126001,977.888,
0.127,563.776,
0.128001,303.308,
0.129,580.497,
0.130001,475.824,
0.131001,574.787,
0.132001,874.1,
0.133001,910.783,
0.134,310.915,
0.135001,393.133,
0.136,1073.3,
0.137001,196.899,
0.138,576.177,
0.139001,219.271,
0.140001,397.831,
0.141001,429.141,
0.142001,403.721,
0.143,464.997,
0.144001,286.38,
0.145,446.226,
0.146001,998.791,
0.147,403.022,
0.148001,433.039,
0.149001,256.581,
0.150001,285.512,
0.151001,136.361,
0.152,255.468,
0.153001,227.809,
0.154,336.765,
0.155001,407.748,
0.156,405.46,
0.157001,429.769,
0.158001,419.309,
0.159001,519.203,
0.160001,235.337,
0.161,274.851,
0.162001,158.132,
0.163,774.987,
0.164001,283.783,
0.165,263.765,
0.166001,361.692,
0.167001,523.327,
0.168001,444.099,
0.169001,920.221,
0.17,401.871,
0.171001,265.437,
0.172,298.744,
0.173001,436.439,
0.174,294.435,
0.175001,663.987,
0.176001,280.61,
0.177001,438.65,
0.178001,597.049,
0.179,598.494,
0.180001,86.7975,
0.181,196.484,
0.182001,309.572,
0.183,454.984,
0.184001,271.887,
0.185001,388.497,
0.186001,258.96,
0.187001,278.157,
0.188,408.525,
0.189001,232.682,
0.19,262.696,
0.191001,349.286,
0.192,534.907,
0.193001,269.652,
0.194001,64.6742,
0.195001,266.081,
0.196001,177.987,
0.197,110.135,
0.198001,365.869,
0.199,451.351,
0.200001,315.251,
0.201,367.789,
