Time(s),Acceleration(m_s2),1_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161210
0.0430002,505.218,
0.0440002,22.1187,
0.0450001,253.204,
0.0460001,-376.017,
0.0470001,97.2109,
0.048,139.115,
0.0490008,123.402,
0.0500008,247.353,
0.0510007,182.164,
0.0520007,249.071,
0.0530007,441.071,
0.0540006,9.30896,
0.0550006,-329.857,
0.0560006,65.1535,
0.0570005,-6.39899,
0.0580005,222.841,
0.0590004,-149.006,
0.0600004,125.151,
0.0610004,266.638,
0.0620003,841.345,
0.0630008,67.5629,
0.0640005,936.414,
0.0650005,-236.541,
0.0660002,-329.772,
0.0670007,391.267,
0.0680004,-360.09,
0.0690001,355.175,
0.0700006,289.334,
0.0710003,-81.2911,
0.072,215.623,
0.0730005,47.7833,
0.0740002,586.805,
0.0750008,183.844,
0.0760004,-264.538,
0.0770001,-228.706,
0.0780007,-344.683,
0.0790003,-321.043,
0.08,-352.772,
0.0810006,220.82,
0.0820002,627.164,
0.0830008,-676.168,
0.0840007,720.595,
0.0850001,-330.033,
0.0860002,509.439,
0.0870008,520.471,
0.0880004,241.454,
0.0890002,859.835,
0.0900004,35.5323,
0.0910005,147.226,
0.0920007,160.62,
0.0930001,-732.402,
0.0940001,598.319,
0.0950003,5.09758,
0.0960008,27.4556,
0.0970005,2.03903,
0.0980002,66.5574,
0.0990005,-53.2286,
0.1,597.565,
0.101001,49.1023,
0.102001,657.252,
0.103,725.709,
0.104001,307.245,
0.105001,222.213,
0.106,316.835,
0.107,-481.076,
0.108,295.437,
0.109001,82.421,
0.11,-462.482,
0.111,-233.877,
0.112,-198.554,
0.113001,103.389,
0.114001,92.3191,
0.115,-387.17,
0.116,12.5942,
0.117001,-69.5201,
0.118001,239.492,
0.119,212.991,
0.12,-333.013,
0.121,-49.2,
0.122001,450.921,
0.123,491.556,
0.124,241.917,
0.125,-248.201,
0.126,-129.553,
0.127001,374.828,
0.128,-5.96829,
0.129,-58.0828,
0.130001,-425.794,
0.131,166.684,
0.132001,-30.717,
0.133,165.245,
0.134,222.895,
0.135001,32.7586,
0.136,711.376,
0.137,286.778,
0.138001,-269.649,
0.139,-305.14,
0.140001,-40.3301,
0.141,392.231,
0.142,-63.4724,
0.143001,-20.382,
0.144,-269.628,
0.145,88.9569,
0.146001,-309.266,
0.147,69.447,
0.148001,-290.464,
0.149,218.251,
0.15,-541.52,
0.151001,-386.328,
0.152,-103.952,
0.153,38.1419,
0.154001,180.964,
0.155,178.639,
0.156001,25.1836,
0.157,-113.403,
0.158,100.303,
0.159001,-120.252,
0.16,274.283,
0.161,-219.845,
0.162001,-59.3961,
0.163,328.149,
0.164001,-188.534,
0.165001,-7.71616,
0.166,-80.6582,
0.167001,74.5436,
0.168,16.3056,
0.169,-136.865,
0.170001,-349.467,
0.171,-256.111,
0.172,253.182,
0.173001,103.887,
0.174,-131.476,
0.175001,-181.918,
0.176,-106.864,
0.177,674.466,
0.178001,-135.115,
0.179,-680.249,
0.18,52.4852,
0.181001,-372.039,
0.182,92.432,
0.183001,-353.426,
0.184,118.986,
0.185,-29.3343,
0.186001,331.392,
0.187,-88.406,
0.188,21.9999,
0.189001,172.53,
0.19,104.609,
0.191001,383.136,
0.192,-201.718,
0.193,238.033,
0.194001,598.018,
0.195,317.698,
0.196,144.278,
0.197001,374.164,
0.198,8.73602,
0.199001,-355.336,
0.2,-389.392,
0.201,-362.045,
0.202001,-279.189,
0.203,346.294,
0.204,-185.098,
0.205001,104.434,
0.206,146.008,
0.207001,186.562,
0.208,58.3761,
0.209,-43.6745,
0.210001,-343.09,
0.211,410.081,
0.212,-245.822,
0.213001,96.9617,
0.214,55.1734,
0.215001,-324.881,
0.216001,-334.567,
0.217,129.852,
0.218001,-228.653,
0.219,-390.268,
0.22,36.3402,
0.221001,31.1063,
0.222,128.298,
0.223,62.9222,
0.224001,192.393,
0.225,-92.0699,
0.226001,624.98,
0.227,160.426,
0.228,-385.932,
0.229001,448.639,
0.23,-278.905,
0.231,338.751,
0.232001,-354.596,
0.233,-359.286,
0.234001,-94.4791,
0.235,-266.83,
0.236,-302.772,
0.237001,-249.149,
0.238,-31.4657,
0.239,-264.78,
0.240001,184.351,
0.241,97.4347,
0.242001,139.662,
0.243,-65.7146,
0.244,46.6415,
0.245001,-152.737,
0.246,-32.7743,
0.247,-399.193,
0.248001,82.9768,
0.249,-223.505,
0.250001,-160.407,
0.251,17.1777,
0.252,-159.405,
0.253001,-5.89584,
0.254,364.137,
0.255,-264.982,
0.256001,-24.3852,
0.257,279.314,
0.258001,-23.2387,
0.259001,83.8974,
0.26,224.615,
0.261001,-54.6884,
0.262,556.629,
0.263,-379.475,
0.264001,86.4439,
0.265,-558.281,
0.266,287.124,
0.267001,-222.387,
0.268,-201.106,
0.269001,50.7758,
0.27,-365.984,
0.271,173.17,
0.272001,-279.139,
0.273,-99.5083,
0.274,-127.917,
0.275001,13.1049,
0.276,16.8892,
0.277001,114.576,
0.278,218.309,
